symbol,code,name,sector[shareinvestor : sg : daily]
AZW.SI,AZW,China Taisan Technology Group Holdings Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
AZY.SI,AZY,Pan Ocean Co. Ltd.,Marine,Transportation
AZZ.SI,AZZ,China Gaoxian Fibre Fabric Holdings Ltd.,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
B07.SI,B07,Next-Generation Satellite Communications Limited,Diversified Telecommunication Services,Telecommunication Services
B08.SI,B08,British and Malayan Trustees Limited,Capital Markets,Diversified Financials
B0I.SI,B0I,Foreland Fabrictech Holdings Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
B10.SI,B10,Boardroom Limited,Professional Services,Commercial and Professional Services
B16.SI,B16,GL LIMITED,Hotels | Restaurants and Leisure,Consumer Services
B1ZU.SI,B1ZU,Rickmers Maritime,Marine,Transportation
B26.SI,B26,Ban Leong Technologies Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
B28.SI,B28,Bonvests Holdings Limited,Industrial Conglomerates,Capital Goods
B2F.SI,B2F,M1 Limited,Wireless Telecommunication Services,Telecommunication Services
B49.SI,B49,World Precision Machinery Limited,Machinery,Capital Goods
