date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2013-06-17,356.0198,764864.4179,689.44320151,11.065,152011.1813129969,129207.6492583389,0.3792
2013-06-18,336.2423,714456.4177,642.42646304,11.081,152388.5220554191,129314.9293000868,0.3478
2013-06-19,362.2356,765515.6562,676.10236141,11.002,150329.5148913825,127413.561225893,0.3768
2013-06-20,374.0739,784536.8931,686.80675307,10.697,147100.0139982247,124880.7058471791,0.3846
2013-06-21,364.7537,799497.3575,676.52889915,10.639,146345.3649489343,124264.0374632516,0.394
2013-06-24,478.3064,1116368.9456,888.31237467,10.075,138370.5632638341,117494.4367792012,0.5392
2013-06-25,554.8617,1393723.7565,1052.6313062,10.06,138349.7339898085,117319.7367754878,0.6824
2013-06-26,423.5525,1029895.3096,813.81808241,10.014,137802.6163074441,116620.4128724741,0.4994
2013-06-27,470.1671,1064522.3831,845.3044622,10.011,137688.5983226532,116499.3062364194,0.5227
2013-06-28,409.8274,1015488.2901,778.17513306,10.168,139774.5221934877,118719.2691042519,0.4976
2013-07-01,320.4287,791701.6076,633.98066204,10.254,140913.8025187259,119596.8317807972,0.3889
2013-07-02,370.3181,883286.8713,747.76153862,10.311,141722.6293025252,120300.7454186427,0.427
2013-07-03,399.6981,941803.2785,770.99967293,10.25,140325.5153036814,119168.6854966768,0.4612
2013-07-04,448.9503,1012465.2259,830.19781647,10.31,141750.2915799755,120342.0284278655,0.4937
2013-07-05,407.9356,916444.4787,752.61265735,10.318,141860.2163947933,120487.1676650417,0.4485
2013-07-08,380.373,855403.7629,679.35414216,10.07,138367.1333961136,117478.1170398122,0.4132
2013-07-09,293.8501,650385.6359,524.08033516,10.108,138903.8603994188,117943.3317248011,0.3173
2013-07-10,388.6375,904203.6387,730.86590205,10.331,142021.7200819709,120531.1600007142,0.4413
2013-07-11,613.7051,1607898.8752,1317.36167372,10.67,146652.2524366529,124475.8176910215,0.7851
2013-07-12,510.048,1219195.7219,1035.94335454,10.497,144281.9885523928,122514.528919929,0.5958
